"item","itemLabel","itemDescription"
"http://www.wikidata.org/entity/Q66832","Franz Roh","German art critic (1890-1965)"
"http://www.wikidata.org/entity/Q67036","Alfred Rethel","German artist (1816-1859)"
"http://www.wikidata.org/entity/Q67053","Karl Otto Götz","German artist (1914-2017)"
"http://www.wikidata.org/entity/Q69428","Kasimir Edschmid","German writer"
"http://www.wikidata.org/entity/Q69651","Eduard Bendemann","German painter (1811-1889)"
"http://www.wikidata.org/entity/Q70893","Melchior Lorck","Danish/German artist (1527-1583)"
"http://www.wikidata.org/entity/Q76483","Rainer Maria Rilke","Austrian poet and writer (1875–1926)"
"http://www.wikidata.org/entity/Q79759","John Milton","English poet and civil servant (1608–1674)"
"http://www.wikidata.org/entity/Q87063","Dora Kallmus","Austrian photographer"
"http://www.wikidata.org/entity/Q87596","Albert Christoph Dies","German artist (1755-1822)"
"http://www.wikidata.org/entity/Q94020","Arno Fischer","German photographer (1927-2011)"
"http://www.wikidata.org/entity/Q96825","Lea Grundig","German artist (1906-1977)"
"http://www.wikidata.org/entity/Q100242","Johann Jakob Dorner the Younger","Bavarian landscape painter (1775-1852)"
"http://www.wikidata.org/entity/Q108301","Maurice Utrillo","French painter (1883-1955)"
"http://www.wikidata.org/entity/Q117856","Channa Horwitz","American artist (1932-2013)"
"http://www.wikidata.org/entity/Q123071","Arnold Böcklin","Swiss painter, draftsman, graphic artist and sculptor (1827-1901)"
"http://www.wikidata.org/entity/Q130039","Cornelis Saftleven","Dutch painter (1607-1681)"
"http://www.wikidata.org/entity/Q131018","François Rabelais","16th-century French writer and humanist"
"http://www.wikidata.org/entity/Q132305","Willem de Kooning","Dutch painter (1904–1997)"
"http://www.wikidata.org/entity/Q134942","William Somerset Maugham","English playwright, novelist, short story writer (1874-1965)"
"http://www.wikidata.org/entity/Q143595","Stradanus","Flemish painter, draughtsman and tapestry designer (1523–1605)"
"http://www.wikidata.org/entity/Q147144","Zao Wou-Ki","Chinese-French painter (1920-2013)"
"http://www.wikidata.org/entity/Q150679","Anthony van Dyck","Flemish Baroque artist (1599-1641)"
"http://www.wikidata.org/entity/Q152233","El Lissitzky","Soviet artist, designer, photographer, teacher, typographer and architect (1890–1941)"
"http://www.wikidata.org/entity/Q154599","Robert Doisneau","French photographer"
"http://www.wikidata.org/entity/Q154340","Francis Bacon","Irish-born British figurative painter, 1909–1992"
"http://www.wikidata.org/entity/Q156567","Henri Cartier-Bresson","French photographer"
"http://www.wikidata.org/entity/Q154782","Adelbert von Chamisso","German poet and botanist (1781–1838)"
"http://www.wikidata.org/entity/Q155376","Lorenzo Monaco","Italian painter (c. 1370 – c. 1425)"
"http://www.wikidata.org/entity/Q155626","John Singer Sargent","American painter (1856–1925)"
"http://www.wikidata.org/entity/Q157321","Francis Picabia","French painter and writer (1879-1953)"
"http://www.wikidata.org/entity/Q160236","Metropolitan Museum of Art","art museum in New York City, United States"
"http://www.wikidata.org/entity/Q161048","Alois Senefelder","German actor and inventor of lithography"
"http://www.wikidata.org/entity/Q164358","Robert Rauschenberg","American painter and graphic artist (1925–2008)"
"http://www.wikidata.org/entity/Q164823","Girolamo Savonarola","Italian Dominican friar and preacher (1452-1498)"
"http://www.wikidata.org/entity/Q166379","Philip de Koninck","painter from the Northern Netherlands (1619–1688)"
"http://www.wikidata.org/entity/Q166585","Philipp Otto Runge","German artist (1777-1810)"
"http://www.wikidata.org/entity/Q170071","Josef Albers","German-American designer, painter, educator and typographer (1888-1976)"
"http://www.wikidata.org/entity/Q180374","Frank Gehry","Canadian-American architect"
"http://www.wikidata.org/entity/Q180932","François Boucher","French painter (1703-1770)"
"http://www.wikidata.org/entity/Q182791","Jean-Baptiste Carpeaux","French sculptor and painter (1827-1875)"
"http://www.wikidata.org/entity/Q186748","Dante Gabriel Rossetti","English poet, illustrator, painter, and translator (1828-1882)"
"http://www.wikidata.org/entity/Q187496","Henri Harpignies","French painter (1819-1916)"
"http://www.wikidata.org/entity/Q188857","Nicolas Boileau-Despréaux","French poet and critic (1636–1711)"
"http://www.wikidata.org/entity/Q192720","Thomas Gainsborough","English portrait and landscape painter (1727-1788)"
"http://www.wikidata.org/entity/Q203306","Herman Hugo","Jesuit priest, writer, military chaplain"
"http://www.wikidata.org/entity/Q207929","Pontormo","Florentine Mannerist painter"
"http://www.wikidata.org/entity/Q213727","Ludwig Meidner","German expressionist artist (1884-1966)"
"http://www.wikidata.org/entity/Q214008","Eugene Spiro","Wrocław born American artist (1874-1972)"
"http://www.wikidata.org/entity/Q214957","Thomas Nast","American cartoonist (1840–1902)"
"http://www.wikidata.org/entity/Q217816","Limbourg brothers","Dutch manuscript illuminators"
"http://www.wikidata.org/entity/Q220545","Zoran Mušič","Slovenian painter and engraver (1909-2005)"
"http://www.wikidata.org/entity/Q221043","Simone Martini","Italian painter"
"http://www.wikidata.org/entity/Q222923","Vincenzo Foppa","Northern-Italian Renaissance painter (1427-1515)"
"http://www.wikidata.org/entity/Q231121","Yayoi Kusama","Japanese painter, performance, and installation artist"
"http://www.wikidata.org/entity/Q232423","Judith Leyster","Dutch Golden Age painter (1609-1660)"
"http://www.wikidata.org/entity/Q235281","Helen Frankenthaler","American painter"
"http://www.wikidata.org/entity/Q239980","Carlo Cignani","Italian painter (1628-1719)"
"http://www.wikidata.org/entity/Q240737","Andrea del Castagno","Italian painter"
"http://www.wikidata.org/entity/Q252357","Charles-François Daubigny","French painter (1817-1878)"
"http://www.wikidata.org/entity/Q257113","Barry Flanagan","British sculptor"
"http://www.wikidata.org/entity/Q215461","Hans Hofmann","German-American painter"
"http://www.wikidata.org/entity/Q5580","Albrecht Dürer","German painter, printmaker, mathematician, and theorist (1471—1528)"
"http://www.wikidata.org/entity/Q60163","Leo von Klenze","German architect and painter (1784–1864)"
"http://www.wikidata.org/entity/Q297","Diego Velázquez","Spanish painter (1599-1660)"
"http://www.wikidata.org/entity/Q5233","François-Édouard Picot","French painter (1786-1868)"
"http://www.wikidata.org/entity/Q5571","Andrea del Sarto","Italian painter (1486-1530)"
"http://www.wikidata.org/entity/Q5594","Antonello da Messina","Italian Renaissance painter (1430-1479)"
"http://www.wikidata.org/entity/Q5664","Fra Angelico","Italian Early Renaissance painter"
"http://www.wikidata.org/entity/Q5811","Masaccio","Italian painter (1401-1428)"
"http://www.wikidata.org/entity/Q7789","Ambrogio Bergognone","Italian Renaissance painter"
"http://www.wikidata.org/entity/Q8511","Lorenzo di Credi","Italian Renaissance painter and sculptor (c.1459-1537)"
"http://www.wikidata.org/entity/Q9348","Parmigianino","Italian Mannerist painter and printmaker (1503–1540)"
"http://www.wikidata.org/entity/Q15975","Montesquieu","French social commentator and political thinker (1689-1755)"
"http://www.wikidata.org/entity/Q16867","Edgar Allan Poe","American writer and literary critic (1809–1849)"
"http://www.wikidata.org/entity/Q25973","Hermann Hesse","German writer (1877–1962)"
"http://www.wikidata.org/entity/Q25942","Walther Klemm","German painter (1883-1957)"
"http://www.wikidata.org/entity/Q29473","Pietro Metastasio","Italian poet and librettist (1698–1782)"
"http://www.wikidata.org/entity/Q37562","Donatello","Early Renaissance Italian sculptor"
"http://www.wikidata.org/entity/Q44032","Egon Schiele","Austrian painter (1890-1918)"
"http://www.wikidata.org/entity/Q45006","Franz Stuck","German painter, sculptor, printmaker, and architect (1863-1928)"
"http://www.wikidata.org/entity/Q48900","Ludovico Ariosto","Italian poet"
"http://www.wikidata.org/entity/Q49752","Pierre de Ronsard","French poet (1524-1585)"
"http://www.wikidata.org/entity/Q54022","Stanisław Leszczyński","King of Poland and Grand Duke of Lithuania"
"http://www.wikidata.org/entity/Q57386","Kurt Tucholsky","Jewish-German journalist, satirist and writer"
"http://www.wikidata.org/entity/Q60809","Ansel Adams","American photographer and environmentalist (1902–1984)"
"http://www.wikidata.org/entity/Q61649","Maria Antonia Walpurgis of Bavaria","German composer, opera singer and librettist (1724-1780)"
"http://www.wikidata.org/entity/Q63206","Otto Brunfels","German botanist and theologian (1488-1534)"
"http://www.wikidata.org/entity/Q64434","Carl Ferdinand Langhans","German architect"
"http://www.wikidata.org/entity/Q90471","Johann Hieronymus Kniphof","German botanist (1704–1763)"
"http://www.wikidata.org/entity/Q151152","Juan Gris","Spanish artist (1887–1927)"
"http://www.wikidata.org/entity/Q91618","Bruno Cassirer","German publisher and art dealer (1872–1941)"
"http://www.wikidata.org/entity/Q134741","Camille Pissarro","Danish-French painter (1830—1903)"
"http://www.wikidata.org/entity/Q176694","Antonis Mor","painter from the Northern Netherlands (1519–1575)"
"http://www.wikidata.org/entity/Q148458","Jean-François Millet","French painter (1814—1875)"
"http://www.wikidata.org/entity/Q167654","Frans Hals","Dutch painter (1580—1666)"
"http://www.wikidata.org/entity/Q160149","Mark Rothko","American painter of Latvian-Jewish descent (1903–1970)"
"http://www.wikidata.org/entity/Q187506","Honoré Daumier","French artist (1808–1879)"
"http://www.wikidata.org/entity/Q223274","Frédéric Auguste Bartholdi","French sculptor and painter (1834–1904)"
"http://www.wikidata.org/entity/Q217434","Grant Wood","American painter (1891–1942)"
"http://www.wikidata.org/entity/Q262791","Steve Reich","American composer"
"http://www.wikidata.org/entity/Q259538","Edwin Austin Abbey","American illustrator and painter (1852-1911)"
"http://www.wikidata.org/entity/Q261859","Johann Wolfgang Baumgartner","German artist (1702-1761)"
"http://www.wikidata.org/entity/Q264193","Émile Bernard","French painter (1868-1941)"
"http://www.wikidata.org/entity/Q266637","Paul Sandby","British artist (1725-1809)"
"http://www.wikidata.org/entity/Q271884","Norman Rockwell","American painter and illustrator (1894–1978)"
"http://www.wikidata.org/entity/Q275610","Agnes Martin","American painter"
"http://www.wikidata.org/entity/Q276675","Jean Joseph Vadé","French chansonnier, composer and writer"
"http://www.wikidata.org/entity/Q281637","Ben Nicholson","British painter (1894-1982)"
"http://www.wikidata.org/entity/Q286685","Girolamo da Ponte","Italian painter (1566-1621)"
"http://www.wikidata.org/entity/Q289626","Étienne Dupérac","French architect, painter, engraver, garden designer (c.1525-1604)"
"http://www.wikidata.org/entity/Q289759","Étienne Jeaurat","painter (1699-1789)"
"http://www.wikidata.org/entity/Q294326","Damien Hirst","English sculptor and installation artist"
"http://www.wikidata.org/entity/Q297565","Giacomo Barozzi da Vignola","Italian architect"
"http://www.wikidata.org/entity/Q309482","Naum Gabo","Russian sculptor (1890-1977)"
"http://www.wikidata.org/entity/Q309733","Vincenzo Scamozzi","16th century Italian architect"
"http://www.wikidata.org/entity/Q310002","François Fénelon","French archbishop, theologian and writer (1651–1715)"
"http://www.wikidata.org/entity/Q312617","Rosso Fiorentino","Italian painter"
"http://www.wikidata.org/entity/Q312786","Robert Mapplethorpe","American photographer"
