"item","detail"
"http://www.wikidata.org/entity/Q262771","Germany"
"http://www.wikidata.org/entity/Q318886","Germany"
"http://www.wikidata.org/entity/Q324096","Germany"
"http://www.wikidata.org/entity/Q364184","Germany"
"http://www.wikidata.org/entity/Q314275","Duchy of Brabant"
"http://www.wikidata.org/entity/Q432856","Romania"
"http://www.wikidata.org/entity/Q454650","Germany"
"http://www.wikidata.org/entity/Q324318","Austria"
"http://www.wikidata.org/entity/Q331047","Austria"
"http://www.wikidata.org/entity/Q459681","Austria"
"http://www.wikidata.org/entity/Q380052","Spain"
"http://www.wikidata.org/entity/Q388090","Italy"
"http://www.wikidata.org/entity/Q388090","Kingdom of Italy"
"http://www.wikidata.org/entity/Q394503","Hungary"
"http://www.wikidata.org/entity/Q447730","Italy"
"http://www.wikidata.org/entity/Q452318","Italy"
"http://www.wikidata.org/entity/Q264193","France"
"http://www.wikidata.org/entity/Q271676","France"
"http://www.wikidata.org/entity/Q276675","France"
"http://www.wikidata.org/entity/Q289626","France"
"http://www.wikidata.org/entity/Q289759","France"
"http://www.wikidata.org/entity/Q310002","France"
"http://www.wikidata.org/entity/Q312617","France"
"http://www.wikidata.org/entity/Q316422","France"
"http://www.wikidata.org/entity/Q322030","France"
"http://www.wikidata.org/entity/Q322341","France"
"http://www.wikidata.org/entity/Q326606","France"
"http://www.wikidata.org/entity/Q330270","France"
"http://www.wikidata.org/entity/Q331871","France"
"http://www.wikidata.org/entity/Q334681","France"
"http://www.wikidata.org/entity/Q336467","France"
"http://www.wikidata.org/entity/Q370567","Netherlands"
"http://www.wikidata.org/entity/Q347455","France"
"http://www.wikidata.org/entity/Q349872","France"
"http://www.wikidata.org/entity/Q350566","France"
"http://www.wikidata.org/entity/Q358612","France"
"http://www.wikidata.org/entity/Q364498","France"
"http://www.wikidata.org/entity/Q367973","France"
"http://www.wikidata.org/entity/Q379949","France"
"http://www.wikidata.org/entity/Q391182","France"
"http://www.wikidata.org/entity/Q438750","Netherlands"
"http://www.wikidata.org/entity/Q447676","France"
"http://www.wikidata.org/entity/Q451489","France"
"http://www.wikidata.org/entity/Q275610","Canada"
"http://www.wikidata.org/entity/Q320821","Poland"
"http://www.wikidata.org/entity/Q323843","Southern Netherlands"
"http://www.wikidata.org/entity/Q309482","Russian Empire"
"http://www.wikidata.org/entity/Q281637","United Kingdom"
"http://www.wikidata.org/entity/Q294326","United Kingdom"
"http://www.wikidata.org/entity/Q360466","United Kingdom"
"http://www.wikidata.org/entity/Q361396","United Kingdom"
"http://www.wikidata.org/entity/Q364658","United Kingdom"
"http://www.wikidata.org/entity/Q381728","United Kingdom"
"http://www.wikidata.org/entity/Q332494","Kingdom of Naples"
"http://www.wikidata.org/entity/Q266637","Great Britain"
"http://www.wikidata.org/entity/Q334914","Great Britain"
"http://www.wikidata.org/entity/Q445433","Great Britain"
"http://www.wikidata.org/entity/Q266637","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q334001","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q364658","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q381728","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q259538","United States of America"
"http://www.wikidata.org/entity/Q262791","United States of America"
"http://www.wikidata.org/entity/Q271884","United States of America"
"http://www.wikidata.org/entity/Q275610","United States of America"
"http://www.wikidata.org/entity/Q299662","United States of America"
"http://www.wikidata.org/entity/Q302714","United States of America"
"http://www.wikidata.org/entity/Q309482","United States of America"
"http://www.wikidata.org/entity/Q312786","United States of America"
"http://www.wikidata.org/entity/Q313055","United States of America"
"http://www.wikidata.org/entity/Q320821","United States of America"
"http://www.wikidata.org/entity/Q325945","United States of America"
"http://www.wikidata.org/entity/Q334001","United States of America"
"http://www.wikidata.org/entity/Q363308","United States of America"
"http://www.wikidata.org/entity/Q367973","United States of America"
"http://www.wikidata.org/entity/Q385941","United States of America"
"http://www.wikidata.org/entity/Q389912","United States of America"
"http://www.wikidata.org/entity/Q394503","United States of America"
"http://www.wikidata.org/entity/Q406597","Holy Roman Empire"
"http://www.wikidata.org/entity/Q432856","United States of America"
"http://www.wikidata.org/entity/Q444567","United States of America"
"http://www.wikidata.org/entity/Q447568","United States of America"
"http://www.wikidata.org/entity/Q453808","United States of America"
"http://www.wikidata.org/entity/Q458671","Qing dynasty"
"http://www.wikidata.org/entity/Q309482","Russian Soviet Federative Socialist Republic"
"http://www.wikidata.org/entity/Q347699","Kingdom of France"
"http://www.wikidata.org/entity/Q375783","Kingdom of France"
"http://www.wikidata.org/entity/Q440053","Kingdom of France"
"http://www.wikidata.org/entity/Q458671","Duchy of Milan"
