"QID","itemLabel","itemDescription","P1196","P19","P20","P21","P27","P509","P569"
"Q66832","Franz Roh","German art critic (1890-1965)",NA,"""Apolda""","""Munich""","""male""","""Germany""",NA,"""1890-02-21T00:00:00Z"""
"Q67036","Alfred Rethel","German artist (1816-1859)",NA,"""Aachen""","""Düsseldorf""","""male""","""Kingdom of Prussia""",NA,"""1816-05-15T00:00:00Z"""
"Q67053","Karl Otto Götz","German artist (1914-2017)",NA,"""Aachen""","""Niederbreitbach""","""male""","""Germany"",""Nazi Germany"",""West Germany"",""German Empire"",""Weimar Republic""",NA,"""1914-02-22T00:00:00Z"""
"Q69428","Kasimir Edschmid","German writer",NA,"""Darmstadt""","""Tarasp""","""male""","""Germany""",NA,"""1890-10-05T00:00:00Z"""
"Q69651","Eduard Bendemann","German painter (1811-1889)",NA,"""Berlin""","""Düsseldorf""","""male""","""Kingdom of Prussia""",NA,"""1811-12-03T00:00:00Z"""
"Q70893","Melchior Lorck","Danish/German artist (1527-1583)",NA,"""Flensburg""","""Copenhagen""","""male""","""Denmark""",NA,"""1527-01-01T00:00:00Z"""
"Q76483","Rainer Maria Rilke","Austrian poet and writer (1875–1926)","""natural causes""","""Prague""","""Montreux""","""male""","""Germany"",""Austria"",""Austria-Hungary""","""leukemia""","""1875-12-04T00:00:00Z"""
"Q79759","John Milton","English poet and civil servant (1608–1674)","""natural causes""","""Cheapside""","""London""","""male""","""Kingdom of England""","""kidney failure""","""1608-12-09T00:00:00Z"""
"Q87063","Dora Kallmus","Austrian photographer",NA,"""Vienna""","""Frohnleiten""","""female""","""Austria"",""Cisleithania""",NA,"""1881-03-20T00:00:00Z"""
"Q87596","Albert Christoph Dies","German artist (1755-1822)",NA,"""Hanover""","""Vienna""","""male""","""Germany""",NA,"""1755-02-11T00:00:00Z"""
"Q94020","Arno Fischer","German photographer (1927-2011)",NA,"""Berlin""","""Neustrelitz""","""male""","""Germany""",NA,"""1927-04-14T00:00:00Z"""
"Q96825","Lea Grundig","German artist (1906-1977)",NA,"""Dresden""","""Mediterranean Sea""","""female""","""German Democratic Republic""",NA,"""1906-03-23T00:00:00Z"""
"Q100242","Johann Jakob Dorner the Younger","Bavarian landscape painter (1775-1852)",NA,"""Munich""","""Munich""","""male""","""Germany""",NA,"""1775-01-01T00:00:00Z"""
